CSC101,CSC102,CSC103,CSC104,Year 1,Year 2,Year 3,Year 4
72,72,74,72.67,3.6,3.6,3.7,3.63
69,90,88,82.33,3.45,4.5,4.4,4.12
90,95,93,92.67,4.5,4.75,4.65,4.63
47,57,44,49.33,2.35,2.85,2.2,2.47
76,78,75,76.33,3.8,3.9,3.75,3.82
71,83,78,77.33,3.55,4.15,3.9,3.87
88,95,92,91.67,4.4,4.75,4.6,4.58
40,43,39,40.67,2,2.15,1.95,2.03
64,64,67,65.00,3.2,3.2,3.35,3.25
38,60,50,49.33,1.9,3,2.5,2.47
58,54,52,54.67,2.9,2.7,2.6,2.73
40,52,43,45.00,2,2.6,2.15,2.25
65,81,73,73.00,3.25,4.05,3.65,3.65
78,72,70,73.33,3.9,3.6,3.5,3.67
50,53,58,53.67,2.5,2.65,2.9,2.68
69,75,78,74.00,3.45,3.75,3.9,3.70
88,89,86,87.67,4.4,4.45,4.3,4.38
18,32,28,26.00,0.9,1.6,1.4,1.30
46,42,46,44.67,2.3,2.1,2.3,2.23
54,58,61,57.67,2.7,2.9,3.05,2.88
66,69,63,66.00,3.3,3.45,3.15,3.30
65,75,70,70.00,3.25,3.75,3.5,3.50
44,54,53,50.33,2.2,2.7,2.65,2.52
69,73,73,71.67,3.45,3.65,3.65,3.58
74,71,80,75.00,3.7,3.55,4,3.75
73,74,72,73.00,3.65,3.7,3.6,3.65
69,54,55,59.33,3.45,2.7,2.75,2.97
67,69,75,70.33,3.35,3.45,3.75,3.52
70,70,65,68.33,3.5,3.5,3.25,3.42
62,70,75,69.00,3.1,3.5,3.75,3.45
69,74,74,72.33,3.45,3.7,3.7,3.62
63,65,61,63.00,3.15,3.25,3.05,3.15
56,72,65,64.33,2.8,3.6,3.25,3.22
40,42,38,40.00,2,2.1,1.9,2.00
97,87,82,88.67,4.85,4.35,4.1,4.43
81,81,79,80.33,4.05,4.05,3.95,4.02
74,81,83,79.33,3.7,4.05,4.15,3.97
50,64,59,57.67,2.5,3.2,2.95,2.88
75,90,88,84.33,3.75,4.5,4.4,4.22
57,56,57,56.67,2.85,2.8,2.85,2.83
55,61,54,56.67,2.75,3.05,2.7,2.83
58,73,68,66.33,2.9,3.65,3.4,3.32
53,58,65,58.67,2.65,2.9,3.25,2.93
59,65,66,63.33,2.95,3.25,3.3,3.17
50,56,54,53.33,2.5,2.8,2.7,2.67
65,54,57,58.67,3.25,2.7,2.85,2.93
55,65,62,60.67,2.75,3.25,3.1,3.03
66,71,76,71.00,3.3,3.55,3.8,3.55
57,74,76,69.00,2.85,3.7,3.8,3.45
82,84,82,82.67,4.1,4.2,4.1,4.13
53,55,48,52.00,2.65,2.75,2.4,2.60
77,69,68,71.33,3.85,3.45,3.4,3.57
53,44,42,46.33,2.65,2.2,2.1,2.32
88,78,75,80.33,4.4,3.9,3.75,4.02
71,84,87,80.67,3.55,4.2,4.35,4.03
33,41,43,39.00,1.65,2.05,2.15,1.95
82,85,86,84.33,4.1,4.25,4.3,4.22
52,55,49,52.00,2.6,2.75,2.45,2.60
58,59,58,58.33,2.9,2.95,2.9,2.92
0,17,10,9.00,0,0.85,0.5,0.45
79,74,72,75.00,3.95,3.7,3.6,3.75
39,39,34,37.33,1.95,1.95,1.7,1.87
62,61,55,59.33,3.1,3.05,2.75,2.97
69,80,71,73.33,3.45,4,3.55,3.67
59,58,59,58.67,2.95,2.9,2.95,2.93
67,64,61,64.00,3.35,3.2,3.05,3.20
45,37,37,39.67,2.25,1.85,1.85,1.98
